"kingdom";"phylum";"order";"family";"genus";"species";"Melipona rufiventris.honey";"Scaptotrigona sp.honey";"Tetragonisca angustula.honey";"Melipona rufiventris.pollen";"Scaptotrigona sp.pollen";"Tetragonisca angustula.pollen"
"Viridiplantae";"Streptophyta";"Myrtales";"Myrtaceae";"Eugenia";"Eugenia bimarginata";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Myrtales";"Melastomataceae";"Miconia";"Miconia sellowiana";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Fabales";"Fabaceae";"Copaifera";"Copaifera spc";"0";"0";"0";"0.00348640869724545";"0";"0"
"Viridiplantae";"Streptophyta";"Poales";"Poaceae";"Urochloa";"Urochloa brizantha";"0.00172816468446579";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Fabales";"Fabaceae";"Chamaecrista";"Chamaecrista brachyrachis";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Lamiales";"Lamiaceae";"Oocephalus";"Oocephalus lythroides";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Dilleniales";"Dilleniaceae";"Davilla";"Davilla elliptica";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Asterales";"Asteraceae";"Chromolaena";"Chromolaena horminoides";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Dilleniales";"Dilleniaceae";"Davilla";"Davilla nitida";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Asterales";"Asteraceae";"Galinsoga";"Galinsoga spc";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Caryophyllales";"Nyctaginaceae";"Guapira";"Guapira noxia";"0";"0";"0";"0.00251582634216885";"0.000284348367230594";"0"
"Viridiplantae";"Streptophyta";"Poales";"Poaceae";"Anthaenantia";"Anthaenantia lanata";"0";"0";"0";"0";"0";"0.00102104307038677"
"Viridiplantae";"Streptophyta";"Malpighiales";"Euphorbiaceae";"Euphorbiaceae spc";"Euphorbiaceae spc";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Fabales";"Polygalaceae";"Bredemeyera";"Bredemeyera floribunda";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Malpighiales";"Euphorbiaceae";"Stillingia";"Stillingia spc";"0";"0";"0";"0";"0";"0.00215119836100606"
"Viridiplantae";"Streptophyta";"Fabales";"Fabaceae";"Cicer";"Cicer spc";"0";"0";"0";"0";"0.00060389522181852";"0"
"Viridiplantae";"Streptophyta";"Apiales";"Apiaceae";"Cuminum";"Cuminum spc";"0";"0";"0";"0";"0.000445592590856384";"0"
"Viridiplantae";"Streptophyta";"Boraginales";"Boraginaceae";"Symphytum";"Symphytum spc";"0";"0";"0.000419830077767981";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Fabales";"Fabaceae";"Bauhinia";"Bauhinia ungulata";"0";"0";"0.000721393087800487";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Piperales";"Piperaceae";"Piper";"Piper divaricatum";"0";"0";"0";"0";"0";"0.000735117140978749"
"Viridiplantae";"Streptophyta";"Asterales";"Asteraceae";"Galinsoga";"Galinsoga parviflora";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Boraginales";"Hydrophyllaceae";"Phacelia";"Phacelia spc";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Asterales";"Asteraceae";"Sonchus";"Sonchus oleraceus";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Malpighiales";"Malpighiaceae";"Peixotoa";"Peixotoa reticulata";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Fabales";"Fabaceae";"Bauhinia";"Bauhinia spc";"0";"0";"0.000649253779020439";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Myrtales";"Combretaceae";"Combretaceae spc";"Combretaceae spc";"0";"0";"0";"0";"0";"0.000391500489539368"
"Viridiplantae";"Streptophyta";"Sapindales";"Sapindaceae";"Serjania";"Serjania lethalis";"0";"0";"0";"0.00182969188521371";"0";"0"
